Table,Source,Billable,Cost,Value,ROI
SecurityAlert,Detection,FALSE,3.904569863,61687137.06,61687133.15
SecurityEvent,OpsManager,TRUE,386311.2711,28322687.8,27936376.53
Syslog,Linux,TRUE,1804526.692,14369395.9,12564869.21
CommonSecurityLog,OpsManager,TRUE,524700.2061,10214742.24,9690042.03
OfficeActivity,OfficeActivityManager,FALSE,1539.612049,6699561.622,6698022.009
DemistoEMEventSources_CL,RestAPI,TRUE,0.43440411,3928872.499,3928872.065
DemistoMDEPASinkhole_CL,RestAPI,TRUE,0.052428082,2265084.499,2265084.447
DNS_CL,,TRUE,0,1831269.768,1831269.768
DnsEvents,OpsManager,TRUE,256505.5186,1831269.768,1574764.249
SigninLogs,Azure AD,TRUE,26223.55155,1587095.25,1560871.698
DemistoKennaData_CL,RestAPI,TRUE,29.23090274,937143.616,937114.3851
PaloAltoVulnerabilities_CL,RestAPI,TRUE,0.810388356,716923.616,716922.8056
AuditLogs,Azure AD,TRUE,19415.57334,277531,258115.4267
AzureDiagnostics,Azure,TRUE,22806.42996,130835.463,108029.033
AzureNetworkAnalytics_CL,Azure,TRUE,0.313070548,89022.07,89021.75693
AzureNetworkAnalytics_CL,Azure,FALSE,106.3668329,89022.07,88915.70317
AWSCloudTrail,,TRUE,0,0,0
ThreatIntelligenceIndicator,Microsoft Threat Intelligence Analytics,TRUE,0,0,0
AutoConnectASC_CL,RestAPI,TRUE,0,0,0
AzureTrafficAnalyticsInsights_CL,Azure,FALSE,0.002515068,0,-0.002515068
AppRequests,Azure,TRUE,0.016477397,0,-0.016477397
Usage,OMS,FALSE,0.023227397,0,-0.023227397
ProofPointTAPClicksBlocked_CL,RestAPI,TRUE,0.023967123,0,-0.023967123
Alert,OMS,TRUE,0.038946575,0,-0.038946575
Operation,OpsManager,FALSE,0.054147945,0,-0.054147945
AppMetrics,Azure,TRUE,0.065909589,0,-0.065909589
ProofPointTAPClicksPermitted_CL,RestAPI,TRUE,0.083884932,0,-0.083884932
SecurityDetection,Detection,TRUE,0.172263699,0,-0.172263699
SecurityIncident,Azure,FALSE,0.196915068,0,-0.196915068
SecurityBaselineSummary,OpsManager,TRUE,0.202222603,0,-0.202222603
AppExceptions,Azure,TRUE,0.247160959,0,-0.247160959
AppPerformanceCounters,Azure,TRUE,0.274123973,0,-0.274123973
AzureActivity,Azure,FALSE,0.745347945,0,-0.745347945
UpdateSummary,OpsManager,TRUE,0.844841096,0,-0.844841096
AppTraces,Azure,TRUE,1.100989726,0,-1.100989726
Cisco_Umbrella_proxy_CL,RestAPI,TRUE,1.12795274,0,-1.12795274
AzureNetworkAnalyticsIPDetails_CL,Azure,FALSE,1.967819178,0,-1.967819178
PaloAltoApps_CL,RestAPI,TRUE,2.056678767,0,-2.056678767
LAQueryLogs,,TRUE,2.228942466,0,-2.228942466
NetworkMonitoring,OpsManager,TRUE,2.311329452,0,-2.311329452
